型号,口径,价格,物料代码,分类,必要说明,库存状态,参考编号,英文描述,材质,规格,数量,TIS项目,来源文件,文档名,表格标题,表格序号
阀盖组件，含螺钉和垫片,"1/2""",719,326763,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,A B C,Cover Assembly with Cap Screws & Gasket,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖组件，含螺钉和垫片,"3/4""",719,326763,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,A B C,Cover Assembly with Cap Screws & Gasket,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖组件，含螺钉和垫片,"1""",781,326764,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,A B C,Cover Assembly with Cap Screws & Gasket,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖组件，含螺钉和垫片,"1 1/4""","1,030",3265598,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,A B C,Cover Assembly with Cap Screws & Gasket,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖组件，含螺钉和垫片,"1 1/2""","1,030",3265598,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,A B C,Cover Assembly with Cap Screws & Gasket,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
阀盖组件，含螺钉和垫片,"2""","1,223",3265599,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,A B C,Cover Assembly with Cap Screws & Gasket,,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
滤网、滤网支撑盘、阀门弹簧和阀盖垫片,"1/2""",336,3265651,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,M N O C,"Screen, Screen Support Disc, Valve Spring & Cap Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
滤网、滤网支撑盘、阀门弹簧和阀盖垫片,"3/4""",336,3265651,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,M N O C,"Screen, Screen Support Disc, Valve Spring & Cap Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
滤网、滤网支撑盘、阀门弹簧和阀盖垫片,"1""",473,3265652,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,M N O C,"Screen, Screen Support Disc, Valve Spring & Cap Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
滤网、滤网支撑盘、阀门弹簧和阀盖垫片,"1 1/4""",473,3265653,减压阀,"备注说明：, 原始多列合并数据已展开为逐规格单行记录, 便于按列筛选和导出。, 价格包含 13% 增值税（Prices valid from 1st January 2024. Price Includes 13% VAT）。",,M N O C,"Screen, Screen Support Disc, Valve Spring & Cap Gasket",,,,,减压阀/25P 减压阀备件包 (Kits).md,25P 减压阀备件包 (Kits),备件包详细对照表,1
