Keyword,Intent,Volume,KD,CPC
"spirax sarco",Commercial,1900,16,0.25
"spirax sarco inc.",Commercial,590,21,0.25
"spirax sarco cotia",Commercial,210,25,0.64
"spirax sarco company",,170,,0.39
"hiter controls - grupo spirax sarco",,140,,0.00
"spirax sarco brasil",Commercial,110,21,0.44
"sarco spirax",Informational+Commercial,90,20,0.39
"purgador spirax sarco",,50,,0.38
"spirax sarco industria e comercio ltda",,50,,0.59
"spirax sarco purgador",,50,,0.38
"purgador spirax sarco tds 52",,40,,0.00
"spirax sarco valvulas",,40,,0.50
"válvula spirax sarco",,40,,0.50
"catálogo spirax sarco pdf",,30,,0.00
"spirax sarco steam tables",,30,,0.00
"spirax sarco td120m",,30,,0.00
"spirax-sarco industria e comercio ltda",,30,,0.00
"valvula spirax sarco",,30,,0.50
"valvulas spirax sarco",,30,,0.50
"13w spirax sarco",,20,,0.00
"25p spirax sarco",,20,,0.22
"a3s spirax sarco",,20,,0.00
"apostila de vapor spirax sarco pdf",,20,,0.00
"apt 10 spirax sarco",,20,,0.00
"apt 14 spirax sarco",,20,,0.00
"apt spirax sarco",,20,,0.00
"apt10 spirax sarco",,20,,0.00
"atuador spirax sarco",,20,,0.00
"bomba de condensado spirax sarco",,20,,0.00
"bomba de condensados spirax sarco",,20,,0.00
"bpt 13 spirax sarco",,20,,0.00
"brv spirax sarco",,20,,0.00
"brv2 spirax sarco",,20,,0.00
"bsa spirax sarco",,20,,0.00
"bsa2t spirax sarco",,20,,0.00
"bsa3t spirax sarco",,20,,0.00
"bt6 spirax sarco",,20,,0.00
"catalogo purgador spirax sarco",,20,,0.00
"catalogo spirax sarco",,20,,0.00
"catalogo spirax sarco pdf",,20,,0.00
"clean steam generator spirax sarco",,20,,0.00
"dcv4 spirax sarco",,20,,0.00
"dfu spirax sarco",,20,,0.00
"distribuidor de fluxo universal spirax sarco",,20,,0.00
"distribuidor spirax sarco",,20,,0.40
"distribuidores spirax sarco",,20,,0.40
"distribuidores spirax sarco brasil",,20,,0.22
"dynafluid spirax sarco",,20,,0.00
"eliminador de ar spirax sarco",,20,,0.21
"empresa spirax sarco",,20,,0.30
"ep5 spirax sarco",,20,,0.00
"ep500 spirax sarco",,20,,0.00
"ep6 spirax sarco",,20,,0.00
"evc spirax sarco",,20,,0.00
"fig 34 spirax sarco",,20,,0.00
"filtro culinario para vapor spirax sarco",,20,,0.00
"filtro de vapor spirax sarco",,20,,0.00
