Keyword,Intent,Volume,KD,CPC
"spirax sarco",Commercial,880,25,0.52
"spirax sarco company",Informational+Commercial,720,46,0.52
"spirax sarco inc.",Informational+Commercial,320,30,0.52
"spirax sarco kondensatableiter",Commercial,140,17,1.03
"spirax sarco aktie",Informational,110,20,0.00
"spirax sarco konstanz",Commercial,110,25,1.75
"spirax sarco gmbh",Commercial,90,28,1.22
"sarco spirax",,40,,0.74
"spirax sarco gmbh regelapparate",,40,,0.00
"spirax sarco inc",,40,,0.74
"spirax sarco kugelschwimmer-kondensatableiter",,40,,0.00
"spirax sarco apt10 4.5",,30,,0.00
"spirax sarco bt6 bh",,30,,0.00
"spirax sarco lp10 4",,30,,0.00
"spirax sarco sp7 10",,30,,0.00
"spirax sarco ws4",,30,,0.00
"apt 14 spirax sarco",,20,,0.00
"avc32 spirax sarco",,20,,0.00
"bc3150 spirax sarco",,20,,0.00
"bpc32ycv spirax sarco",,20,,0.00
"bsa2t spirax sarco",,20,,0.00
"bsa3t spirax sarco",,20,,0.00
"bt6 spirax sarco",,20,,0.00
"btm7 spirax sarco",,20,,0.00
"drv7 spirax sarco",,20,,0.00
"ep5 spirax sarco",,20,,0.00
"ft14 spirax sarco",,20,,0.00
"ft43 spirax sarco",,20,,0.00
"fts14 spirax sarco",,20,,0.00
"gestra spirax sarco",,20,,0.00
"kondensatableiter spirax sarco",,20,,0.00
"logo spirax sarco",,20,,0.00
"m10s spirax sarco",,20,,0.00
"m10s2 spirax sarco",,20,,0.00
"mfp14 spirax sarco",,20,,0.00
"spira trol spirax sarco",,20,,0.00
"spirax sarco 3d models",,20,,0.00
"spirax sarco ae30",,20,,0.00
"spirax sarco ae50s",,20,,0.00
"spirax sarco ag",,20,,0.00
"spirax sarco apt 14",,20,,0.00
"spirax sarco apt14",,20,,0.00
"spirax sarco av13",,20,,0.00
"spirax sarco avc32",,20,,0.00
"spirax sarco bc3150",,20,,0.00
"spirax sarco bc3250",,20,,0.00
"spirax sarco bcv43",,20,,0.00
"spirax sarco bim",,20,,0.00
"spirax sarco bpc32",,20,,0.00
"spirax sarco bpc32ycv",,20,,0.00
"spirax sarco bpt13s",,20,,0.00
"spirax sarco brv",,20,,0.00
"spirax sarco brv2s",,20,,2.00
"spirax sarco bsa1t",,20,,0.00
"spirax sarco bsa2t",,20,,0.00
"spirax sarco bt6",,20,,0.00
"spirax sarco btm7",,20,,0.00
"spirax sarco cad",,20,,0.00
"spirax sarco calculator",,20,,0.00
"spirax sarco careers",,20,,0.00
"spirax sarco ceo",,20,,0.00
"spirax sarco ch",,20,,0.00
"spirax sarco cheltenham",,20,,0.00
"spirax sarco csf16",,20,,0.00
"spirax sarco dampf",,20,,0.00
"spirax sarco dcv3",,20,,0.00
"spirax sarco dcv4",,20,,0.00
"spirax sarco deutschland",,20,,0.00
"spirax sarco diffuser",,20,,0.00
"spirax sarco dp27",,20,,0.00
"spirax sarco dp27s",,20,,0.00
"spirax sarco druckminderer",,20,,0.00
"spirax sarco easiheat",,20,,0.00
"spirax sarco engineering",,20,,0.00
"spirax sarco engineering plc",,20,,0.00
"spirax sarco engineering share price",,20,,0.00
"spirax sarco ep5",,20,,0.00
"spirax sarco ersatzteile",,20,,0.00
"spirax sarco france",,20,,0.00
"spirax sarco ft14",,20,,0.00
"spirax sarco ft43",,20,,0.00
"spirax sarco ft44",,20,,0.00
"spirax sarco fts14",,20,,0.00
"spirax sarco germany",,20,,0.00
"spirax sarco gestra",,20,,0.00
