Keyword,Intent,Volume,KD,CPC,类型,备注,内链
spirax sarco ft43,Informational+Navigational,90,7,0.00,product,,/products/steam-traps/ball-float-steam-traps/ft43-ball-float-steam-trap/
spirax sarco ft43 10,Informational+Navigational,90,8,0.00,product,,/products/steam-traps/ball-float-steam-traps/ft43-ball-float-steam-trap/
ft14 14 spirax sarco,,50,,0,product,,/products/steam-traps/ball-float-steam-traps/ft14-ball-float-steam-trap/
ft43 10 spirax sarco,,50,,0.00,product,,/products/steam-traps/ball-float-steam-traps/ft43-ball-float-steam-trap/
spirax sarco ft14 10,,50,,0.00,product,,/products/steam-traps/ball-float-steam-traps/ft14-ball-float-steam-trap/
spirax sarco ft14,Transactional,40,9,2.13,product,,/products/steam-traps/ball-float-steam-traps/ft14-ball-float-steam-trap/
spirax sarco td32f,,40,,0.00,product,,/products/steam-traps/thermodynamic-steam-traps/td32f-flanged-thermodynamic-steam-trap/
bpc32y spirax sarco,,30,,0.00,product,,
ft43 spirax sarco,Informational+Commercial,30,15,0.00,product,,/products/steam-traps/ball-float-steam-traps/ft43-ball-float-steam-trap/
spirax sarco bpc32,,30,,0.00,product,,
spirax sarco btm7,,30,,0,product,,/products/clean-steam/btm7-stainless-steel-thermostatic-clean-steam-trap/
spirax sarco ft14 steam trap,,30,,0,product,,/products/steam-traps/ball-float-steam-traps/ft14-ball-float-steam-trap/
spirax sarco ftgs14,Informational,30,5,0,product,,/products/steam-traps/ball-float-steam-traps/ftgs14-ball-float-steam-trap/
spirax sarco fts14,,30,,0,product,,/products/clean-steam/fts14-ball-float-steam-trap/
spirax sarco td120m,,30,,0.00,product,,
spirax sarco td42l,,30,,1.06,product,,
td42s2 spirax sarco,,30,,0.00,,,
bpc32 spirax sarco,,20,,0.00,product,,
bpt 13 spirax sarco,,20,,0.00,,,/topics/steam-traps/
bpt13 spirax sarco,,20,,0.00,product,,
btm7 spirax sarco,,20,,0.00,product,,/products/clean-steam/btm7-stainless-steel-thermostatic-clean-steam-trap/
ca 14 spirax sarco,,20,,0.00,,,/topics/steam-traps/
ca14 spirax sarco,,20,,0.00,,,
ft14 10 spirax sarco,,20,,0.00,product,,/products/steam-traps/ball-float-steam-traps/ft14-ball-float-steam-trap/
