产品系列/类型,匹配规则
冷凝水泵,\bautomatic\s+pump\s+trap(s)?\b; \bpump\s+trap(s)?\b; \bcondensate\s+(recovery\s+)?pump(s)?\b; \bsteam\s+powered\s+condensate\s+pump\b; 冷凝水泵; \bpump\s+package\b; \bpump\s+skid\b; \bbomba(s)?\s+de\s+condensad[oa]s\b; \bbomba\s+para\s+condensados\b; \bcondensate\s+return\s+pump\b; \bcondensate\s+electric\s+pump\b; bomba de condensados; bomba para condensados; condensaatpomp; mini mono spi; minimonospi; zvedac kondenzatu
温控阀,\bself[-\s]*acting\s+temperature\s+control\s+valve\b; \btemperature\s+control\s+valve\b; 自力式温控阀; 温控阀; self acting temperature controls
疏水阀,\bsteam\s+trap(s)?\b; \bf\s*&\s*t\s+trap(s)?\b; \bf\s+and\s+t\s+trap(s)?\b; \bfloat\s+trap(s)?\b; \bcondensate\s+trap(s)?\b; \bliquid\s+drain\s+trap(s)?\b; \bair\s+trap(s)?\b; \bbucket\s+trap(s)?\b; \binverted\s+bucket\b; \bthermostatic\b; \bthermodynamic\b; \bbimetallic\b; \bball\s+float\b; 疏水阀; 蒸汽疏水; 浮球式; 热动力; \bpurgador(es)?\s+(de\s+)?vapor\b; \bpurgadores\s+spirax\s+sarco\b; \bsteamtrap\b; \bmechanical\s+traps?\b; \bdrip\s+trap\b; \bdrain\s+trap\b; \bcompressed\s+air\s+drain\s+trap\b; \bair\s+and\s+gas\s+trap\b; \bft\s+traps?\b; \btrap\s+safety\s+factor\b; \bspecification\s+of\s+.*traps?\b; \bpurgadores\s+de\s+boya\b; \btraps?\b; odwadniacz; purgador(es)?; kondenstop; kondensatableiter; condenspot; trampa(s)? de vapor; purgador(es)? de vapor; balde invertido; thermodynamische condenspot; \bftb\b; \bfti\b; \brta[-\s]*125\b; \bbp\s*(13|22|25|30|99)\b; \bbpt13sx\b; kondensatavledare; kondenspot; lauhteenpoistimet; kugelschwimmerkondensatableiter; odwadniacze; ftd; fte; td 32; \bfa\s*450\b; \bfta\s*552\b; \bft\s*145\b; \bft\s*14x\b; \bft\s*4\s*5\b; \bft\s*551\b; \bftgs\b; \btss\s*300\b; kondensomat; estacion de purga compacta; ibv c series; \bmst\s*18\b; mst18; bydrain; vandudlader; trampas de vapor; \btramp\b; \bbps\s*32ycv\b; \bbpc32ycv\b; \bt3\b; \bth[-\s]*125\b; \brth[-\s]*125\b; \bb5[-\s]*125\b; thermoton; smc32yf; bpc32yf; 125 yf; \btd16\b; \bd16\b; b-2-180; \bb4\b,; b-2-180
阀门定位器,\bpositioner(s)?\b; \bposicionador(es)?\b; 定位器; pisiconador; \bsp\s*301\b; \bsp\s*303\b; \bsp400ls\b
过滤器,\bstrainer(s)?\b; \by[-\s]*type\s+strainer\b; \by\s+strainer\b; \bbasket\s+strainer\b; \bfilter(s)?\b; \bfiltro(s)?\b; 过滤器; 蒸汽过滤; \bfiltre\b; filtre y; filtro de vapor; filtro y linea; \bfig\s*33\b; stoomfilter; ci-125; csf; elemento filtrante; filtr gruszkowy; figura 14; figura 34; snavssamler; \bcfs26\b; \bfig\s*13\b; \bfig\s*3716\b; \bci\s*250\b; \bfig\s*14hp\b; \b14hp\b; \bfig\s*34hp\b; \b34hp\b; \bsil\b; sil strainer,; sil
减压阀,\bpressure\s+reducing\b; \bpressure\s+reduction\b; \breducing\s+valve\b; \bprv\b; \bpressure\s+regulator\b; \bpressure\s+reducing\s+station\b; 减压阀; 减压站; \bbrv\b; \bdrv\b; druckminderer; valvula reductora de presion; valvula redutora de pressao; regulador de presion; regulador de vapor; \b25p\b; \b25\s+series\b; pilot operated pressure regulator; \b25\s*pag\b; \bdp\s*143\b; \bdp\s*17t\b; serie 25; \bsrv\b; \bdlv\s*75\b; 25 series pressure regulator; \bprs\b; piloto\s+p; \bs\s*25\b; 25pss; auto[-\s]*actuadas; válvulas redutoras pressão auto-actuadas; \bdp\b; DP Type Valve; \b25s\b
控制阀,\bcontrol\s+valve(s)?\b; \bsteam\s+control\s+valve(s)?\b; \bpressure\s+control\s+valve\b; \bback\s+pressure\s+control\s+valve\b; 控制阀; spiratrol; \bce\s*43\b
调节阀,\bregulating\s+valve\b; \bregulator\s+valve\b; \bsteam\s+regulator\b; \bregulator(s)?\b; \bregulador; \bregulatori\b; 调节阀; 调压阀; 压力调节阀; regelventil; zawory regulacyjne; valvula reguladora; valvula moduladora; regulateur pneumatique; moduladora de vapor; dampfregelventil; mf regulacyjny
汽水分离器,\bsteam\s+separator(s)?\b; \bmoisture\s+separator(s)?\b; \bair\s+separator\b; \bwater\s+separator\b; \bclean\s+steam\s+separator\b; \bseparator(s)?\b; \bseparador(es)?\b; 汽水分离器; 蒸汽分离器; 分离器; \beliminador\s+de\s+umidade\b; \bdesaireador\b; separador de vapor; barilotto di separazione; deshumedecedor; secador de humedad; secador vapor; separadoe vapor; seperator stainless; cyclonic; barilotto; dri-line; \bs4a\b; fabricated steel separator
执行器,\bactuator(s)?\b; \bactuador(es)?\b; 执行器; atuador; actuador; attuatore; atuadores; actuadores; \bbva\s*(300|310|325)\b; \bbva325s\b; auctuaores\s+neumaticos; \bael\s*62213\b; \bael\s*63213\b; \bn2000\b; \btn2000\b; \bel\s*5611\b
球阀,\bball\s+valve(s)?\b; 球阀; kugelventil; llave de paso esferica; llave de tres cuerpos; zawory kulowe; \bm70i\b; \bm\s*10\s*si2\b; \b10\s*si2\b; \bfig\s*106\b; \bm20\b; \bm140\b
安全阀,\bsafety\s+valve(s)?\b; \bpressure\s+safety\s+valve\b; 安全阀; \bpressure\s+relief\s+valve\b; \bsafety\s+relief\s+valve\b; \brelief\s+valve\b; \brelief\s+valves\b; \bthermal\s+relief\s+valve\b; \bthremal\s+relief\s+valve\b; \bpsv\b; sicherheitsventil; \bsv\s*901\b; emniyet ventili; \bsv\s*56\b; \bsv56\b; \bsv\b
流量计,\bflow\s*meter(s)?\b; \bflowmeter(s)?\b; \bsteam\s+flow\s+meter\b; \bsteam\s+meter\b; \bflow\s+measurement\b; \bflow\s+metering\b; 流量计; caudalimetro vapor; contador de vapor; medidor de vapor; medidor de gas; btu meter; water flow indicator; \bvlm\s*30\b; \bmeters\b; \bm111\b; spiraflo
止回阀,\bcheck\s+valve(s)?\b; \bnon[-\s]+return\s+valve\b; \blift\s+check\s+valve\b; \bdisc\s+check\s+valve\b; 止回阀; \bcheck\s+spirax\s+sarco\b; cheque inox; retencion de disco; ruckschlagventile; check disk; \blcv\b; \blcv2\b; \bsdcv44\b; \bwcv\b
