Keyword,Intent,Volume,KD,CPC,类型,备注
a spirax sarco,,0,,0.00,,
1 spirax sarco,,0,,0.00,,
abkmnh-htuekznjh c fnjuj djple f spirax sarco,,0,,0.00,,
pfgfcyst xfcnb spirax sarco,,0,,0.00,,
rkfgfy spirax sarco,,0,,0.00,,
rkfgfy spirax sarco ghjlfv,,0,,0.00,,
spirax sarco ghjlfv,,0,,0.00,,
spirax sarco tosic,,0,,0.00,,
spirax sarco tosik,,0,,0.00,,
spirax sarco youla,,0,,0.00,,
spirax sarco para,,0,,0.00,,
spirax sarco pero,,0,,0.00,,
gafas de vista spirax sarco,,0,,0.00,,
glass door spirax sarco,,0,,0.00,,
spirax sarco cake,,0,,0.00,,
spirax sarco mamas,,0,,0.00,,
spirax sarco ventiladores,,0,,0.00,,
cara ella spirax sarco,,0,,0.00,,
caravella ella spirax sarco,,0,,0.00,,
gremio spirax sarco,,0,,0.00,,
hook cat spirax sarco,,0,,0.00,,
ipek spirax sarco,,0,,0.00,,
rob spirax sarco,,0,,0.00,,
spirax sarco baoh,,0,,0.00,,
spirax sarco bih,,0,,0.00,,
spirax sarco canzada,,0,,0.00,,
spirax sarco chengelet,,0,,0.00,,
spirax sarco esperanza,,0,,0.00,,
spirax sarco fan,,0,,0.00,,
spirax sarco silhan,,0,,0.00,,
stream buffer spirax sarco,,0,,0.00,non-product,Likely typo/no direct product evidence from official search; broad steam search only (batch-50)
steam spirax sarco red,,0,,0.00,non-product,Unstable red/typo-style generic steam query; no product evidence (batch-51)
m s spirax sarco,,0,,0,non-product,Single-letter/spacing noise query with no product evidence (batch-51)
spirax sarco nova,,20,,0.00,non-product,"Portuguese/Spanish new/nova broad query; official results are generic/new content, not product family (batch-52)"
spirax sarco r,,0,,0.00,non-product,Single-letter query with no stable product family evidence (batch-52)
spirax sarco s,,0,,0.00,non-product,Single-letter query with no stable product family evidence (batch-52)
snap four spirax sarco,,0,,0.00,non-product,Official search for snapfour returned 0 results; snap/snap four has no stable product family evidence (batch-55)
snap spirax sarco,,0,,0,non-product,Snap is a broad/noise token with no stable Spirax product family evidence (batch-55)
snapfour spirax sarco,,0,,0.00,non-product,Official search for snapfour returned 0 results; no stable product family evidence (batch-55)
spirax sarco snap 4,,0,,0.00,non-product,Snap 4 is a broad/noise token with no stable Spirax product family evidence (batch-55)
spirax sarco isimatik,,0,,0.00,non-product,Unverified name/noise query; official search for isimatik returned 0 results (batch-56)
spirax sarco bbb,,0,,0,non-product,"Repeated-letter query; official search returned broad unrelated/fuzzy hits, no product-family evidence (batch-59)"
spirax sarco duramix 8000,,0,,0,non-product,No exact official DuraMix 8000 Spirax product evidence; official search only returned unrelated 8000-series substring results (batch-65)
pioto t2 spirax sarco,,0,,0.00,non-product,Typo/noise query; T2 official search was ambiguous and pioto adds no stable product intent (batch-68)
