Keyword,Intent,Volume,KD,CPC
"spirax sarco",Commercial,1000,36,0.26
"spirax sarco inc.",Commercial,480,18,0.26
"spirax sarco france",Commercial,260,24,0.93
"spirax sarco company",,110,,0.48
"spirax sarco chatellerault",Informational+Navigational,90,21,0.00
"spirax sarco trappes",Informational+Navigational,70,25,0.00
"spirax sarco châtellerault",,50,,0.00
"spirax sarco ft14 10",,50,,0.00
"spirax sarco spain",,30,,0.00
"ae14 spirax sarco",,20,,0.00
"apt14 spirax sarco",,20,,0.00
"avc32 spirax sarco",,20,,0.00
"bc3150 spirax sarco",,20,,0.00
"bc3250 spirax sarco",,20,,0.00
"bpc32 spirax sarco",,20,,0.00
"bpc32y spirax sarco",,20,,0.00
"bpc32ycv spirax sarco",,20,,0.00
"bsa3t spirax sarco",,20,,0.00
"bt6 spirax sarco",,20,,0.00
"btm7 spirax sarco",,20,,0.00
"catalogue spirax sarco",,20,,0.00
"catalogue spirax sarco pdf",,20,,0.00
"dbb3 spirax sarco",,20,,0.00
"dp143 spirax sarco",,20,,0.00
"drv7 spirax sarco",,20,,0.00
"ep5 spirax sarco",,20,,0.00
"filtre spirax sarco",,20,,0.00
"filtre y spirax sarco",,20,,0.00
"ft14 spirax sarco",,20,,0.00
"ft43 spirax sarco",,20,,0.00
"ft44 spirax sarco",,20,,0.00
"fts14 spirax sarco",,20,,0.00
"gestra spirax sarco",,20,,0.00
"ilva spirax sarco",,20,,0.00
"ke73 spirax sarco",,20,,0.00
"logo spirax sarco",,20,,0.00
"mfp14 spirax sarco",,20,,0.00
"mst21 spirax sarco",,20,,0.00
"purgeur pompe spirax sarco",,20,,0.00
"purgeur spirax sarco",,20,,0.00
"purgeur thermodynamique spirax sarco",,20,,0.00
"sa121 spirax sarco",,20,,0.00
"sc20 spirax sarco",,20,,0.00
"smc32y spirax sarco",,20,,0.00
"sp500 spirax sarco",,20,,0.00
"sp7 spirax sarco",,20,,0.00
"spira trol spirax sarco",,20,,0.00
"spirax sarco 3d",,20,,0.00
"spirax sarco 86",,20,,0.00
"spirax sarco ae30",,20,,0.00
"spirax sarco ae30a",,20,,0.00
"spirax sarco ae50s",,20,,0.00
"spirax sarco ag",,20,,0.00
"spirax sarco apt 14",,20,,0.00
"spirax sarco apt14",,20,,0.00
"spirax sarco av13",,20,,0.00
"spirax sarco avc32",,20,,0.00
"spirax sarco bc3150",,20,,0.00
"spirax sarco belgique",,20,,0.00
"spirax sarco belgium",,20,,0.00
"spirax sarco bpc32",,20,,0.00
"spirax sarco bpc32ycv",,20,,0.00
"spirax sarco brv2s",,20,,0.00
"spirax sarco bsa1t",,20,,0.00
"spirax sarco bsa3t",,20,,0.00
"spirax sarco bt6",,20,,0.00
"spirax sarco bt6 bh",,20,,0.00
"spirax sarco btm7",,20,,0.00
"spirax sarco cad",,20,,0.00
"spirax sarco calculator",,20,,0.00
"spirax sarco careers",,20,,0.00
"spirax sarco catalogue",,20,,0.00
"spirax sarco cheltenham",,20,,0.00
"spirax sarco contact",,20,,0.00
"spirax sarco cp30",,20,,0.00
"spirax sarco csf16",,20,,0.00
"spirax sarco dcv3",,20,,0.00
"spirax sarco distributeur",,20,,0.00
"spirax sarco dp143",,20,,0.00
"spirax sarco dp17",,20,,0.00
"spirax sarco dp27",,20,,0.00
"spirax sarco engineering",,20,,0.00
"spirax sarco engineering plc",,20,,0.00
"spirax sarco engineering share price",,20,,0.00
"spirax sarco ep5",,20,,0.00
"spirax sarco ep500",,20,,0.00
"spirax sarco españa",,20,,0.00
"spirax sarco formation",,20,,0.00
"spirax sarco france chatellerault",,20,,0.00
"spirax sarco ft14",,20,,0.00
"spirax sarco group",,20,,0.00
"spirax sarco hq",,20,,0.00
"spirax sarco italia",,20,,0.00
"spirax sarco ke73",,20,,0.00
"spirax sarco lc3050",,20,,0.00
"spirax sarco limited",,20,,0.00
"spirax sarco linkedin",,20,,0.00
"spirax sarco logo",,20,,0.00
"spirax sarco lp20",,20,,0.00
"spirax sarco lp30",,20,,0.00
"spirax sarco ltd",,20,,0.00
"spirax sarco lyon",,20,,0.00
"spirax sarco m850",,20,,0.00
"spirax sarco mfp14",,20,,0.00
"spirax sarco mst21",,20,,0.00
"spirax sarco plc",,20,,0.00
"spirax sarco pn9000",,20,,0.00
"spirax sarco pressure reducing valve",,20,,0.00
"spirax sarco pressure relief valve",,20,,0.00
"spirax sarco prv",,20,,0.00
"spirax sarco purgeur",,20,,0.00
"spirax sarco recrutement",,20,,0.00
"spirax sarco regulator",,20,,0.00
"spirax sarco sa121",,20,,0.00
"spirax sarco sas",,20,,0.00
"spirax sarco sc20",,20,,0.00
"spirax sarco share price",,20,,0.00
"spirax sarco sp200",,20,,0.00
"spirax sarco sp500",,20,,0.00
"spirax sarco sp500 calibration",,20,,0.00
"spirax sarco sp500 manual",,20,,0.00
"spirax sarco sp7 10",,20,,0.00
"spirax sarco sp7 10 manual",,20,,0.00
"spirax sarco srv2s",,20,,0.00
"spirax sarco steam",,20,,0.00
