Keyword,Intent,Volume,KD,CPC
"spirax sarco",Commercial,4400,54,0.71
"spirax sarco share price",Informational,4400,23,1.90
"spirax sarco inc.",Commercial,1600,33,0.65
"spirax sarco engineering share price",Informational,720,20,0.00
"spirax sarco cheltenham",Commercial,480,30,1.48
"spirax sarco ftse 100",Informational,260,18,0.00
"spirax sarco shares",Informational,260,21,1.25
"spirax sarco company",Commercial,210,33,0.65
"spirax sarco northcroft house",Informational,210,12,0.00
"spirax sarco cheltenham jobs",Transactional,170,12,0.12
"spirax sarco engineering",Informational,170,34,0.88
"spirax sarco jobs",Transactional,170,11,0.12
"spirax sarco steam tables",Commercial,170,20,0.00
"spirax sarco engineering plc",Informational,140,33,1.21
"spirax sarco uk",Commercial,140,31,0.73
"spirax-sarco",,140,,0.71
"spirax sarco careers",Transactional,110,20,0.00
"spirax sarco runnings road cheltenham",Informational+Navigational,110,24,0.98
"spirax sarco steam traps",Commercial,110,23,1.01
"spirax sarco uk cheltenham",Commercial,110,38,0.98
"spirax sarco limited",Informational+Commercial,90,29,0.77
"spirax sarco limited uk",Informational+Navigational,90,38,0.73
"spirax sarco ltd",Commercial,90,37,0.77
"spirax sarco valves",Informational+Navigational,90,14,0.96
"spirax sarco steam trap",,70,,1.01
"spirax sarco valve",,70,,0.74
"steam tables spirax sarco",,70,,0.00
"spirax sarco jobs cheltenham",,50,,0.12
"spirax-sarco engineering plc",,50,,0.88
"spirax sarco control valve",,40,,0.00
"spirax sarco distributors",,40,,1.69
"spirax sarco ft14 10",,40,,0.00
"spirax sarco pressure reducing valve",,40,,1.22
"spirax sarco products",,40,,0.71
"spirax sarco share price uk",,40,,0.00
"spirax sarco steam check valve",,40,,0.00
"spirax sarco ae30",,30,,2.21
"spirax sarco brv2s",,30,,0.00
"spirax sarco check valve",,30,,0.00
"spirax sarco condensate pump",,30,,0.00
"spirax sarco dp27",,30,,0.00
"spirax sarco dp27y",,30,,0.00
"spirax sarco ft 15",,30,,0.00
"spirax sarco ft14",,30,,1.73
"spirax sarco inc",,30,,0.71
"spirax sarco india",,30,,0.00
"spirax sarco inverted bucket steam trap",,30,,0.00
"spirax sarco logo",,30,,0.00
"spirax sarco pumps",,30,,0.00
"spirax sarco runnings road",,30,,0.00
"spirax sarco sp500",,30,,0.00
"spirax sarco steam",,30,,0.00
"spirax sarco steam control valve",,30,,1.41
"spirax sarco steam regulator",,30,,0.00
"spirax sarco steam trap distributors",,30,,0.00
"spirax sarco steam trap rebuild kits",,30,,0.00
"spirax sarco steam valves",,30,,0.00
"spirax sarco stock",,30,,0.00
"spirax sarco strainer",,30,,0.00
"spirax sarco td42l",,30,,1.06
"spirax sarco td52",,30,,0.00
"spirax sarco td52l",,30,,0.00
"spirax sarco thermodynamic steam trap",,30,,0.00
"spirax sarco thermostatic steam trap",,30,,0.00
"spirax sarco training",,30,,0.00
"spirax sarco tva flowmeter manual",,30,,0.00
"spirax sarco vb14",,30,,0.00
"spirax-sarco engineering",,30,,0.88
"a3s spirax sarco",,20,,0.00
"ae14 spirax sarco",,20,,0.00
"apt14 spirax sarco",,20,,0.00
"avc32 spirax sarco",,20,,0.00
"ball float steam trap spirax sarco",,20,,0.00
"ball valve spirax sarco",,20,,0.00
"bc3150 spirax sarco",,20,,0.00
"bc3250 spirax sarco",,20,,0.00
"bpc32y spirax sarco",,20,,0.00
"bpt13 spirax sarco",,20,,0.00
"brv2 spirax sarco",,20,,0.00
"bsa spirax sarco",,20,,0.00
"bsa2t spirax sarco",,20,,0.00
"bsa3t spirax sarco",,20,,0.00
"bt6 spirax sarco",,20,,0.00
"btm7 spirax sarco",,20,,0.00
"chromalox spirax sarco",,20,,0.00
"clean steam generator spirax sarco",,20,,0.00
"condensate pump spirax sarco",,20,,0.00
"cotopaxi spirax sarco",,20,,0.00
"cp30 spirax sarco",,20,,0.00
"csf16 spirax sarco",,20,,0.00
"dbb3 spirax sarco",,20,,0.00
"dcv4 spirax sarco",,20,,0.00
"dp143 spirax sarco",,20,,0.00
"drv7 spirax sarco",,20,,0.00
"ep5 spirax sarco",,20,,0.00
"fig 34 spirax sarco",,20,,0.00
"ft44 spirax sarco",,20,,0.00
"ftgs14 spirax sarco",,20,,0.00
"fts14 spirax sarco",,20,,0.00
"gestra spirax sarco",,20,,0.00
"ilva spirax sarco",,20,,0.00
"ke73 spirax sarco",,20,,0.00
"lc1350 spirax sarco",,20,,0.00
"lc2250 spirax sarco",,20,,0.00
"logo spirax sarco",,20,,0.00
"m10 spirax sarco",,20,,0.00
"mfp14 spirax sarco",,20,,0.00
"mst21 spirax sarco",,20,,0.00
"nimesh patel spirax sarco",,20,,0.00
"ogden pump spirax sarco",,20,,0.00
"pa20 spirax sarco",,20,,0.00
"pressure reducing valve for steam spirax sarco",,20,,0.00
"pressure relief valve spirax sarco",,20,,0.00
"prv spirax sarco",,20,,0.00
"pump trap spirax sarco",,20,,0.00
"sa121 spirax sarco",,20,,0.00
"sa128 spirax sarco",,20,,0.00
"self acting temperature control valve spirax sarco",,20,,0.00
"share price spirax sarco",,20,,0.00
"sp500 spirax sarco",,20,,0.00
"sp7 10 spirax sarco",,20,,0.00
"spira trol spirax sarco",,20,,0.00
"spirax sarco 25p",,20,,0.00
"spirax sarco 3d models",,20,,0.00
"spirax sarco a3s",,20,,0.00
"spirax sarco ab",,20,,0.00
"spirax sarco actuator",,20,,0.00
"spirax sarco address",,20,,0.00
"spirax sarco ae14",,20,,0.00
"spirax sarco ae36",,20,,0.00
"spirax sarco ae36a",,20,,0.00
"spirax sarco ae50s",,20,,0.00
"spirax sarco ael5",,20,,0.00
"spirax sarco air eliminator",,20,,0.00
"spirax sarco air vent",,20,,0.00
"spirax sarco annual report",,20,,0.00
"spirax sarco app",,20,,0.00
"spirax sarco apprenticeships",,20,,0.00
"spirax sarco apt 14",,20,,0.00
"spirax sarco apt14",,20,,0.00
"spirax sarco apt14 pump package",,20,,0.00
"spirax sarco argentina",,20,,0.00
"spirax sarco australia",,20,,0.00
"spirax sarco automatic air vent",,20,,0.00
"spirax sarco av13",,20,,0.00
"spirax sarco avc32",,20,,0.00
"spirax sarco ball float steam trap",,20,,0.00
"spirax sarco ball valve",,20,,0.00
"spirax sarco bc3150",,20,,0.00
"spirax sarco bc3250",,20,,0.00
"spirax sarco bc3250 manual",,20,,0.00
"spirax sarco bcr3250",,20,,0.00
"spirax sarco belgie",,20,,0.00
"spirax sarco belgique",,20,,0.00
"spirax sarco bim",,20,,0.00
"spirax sarco bimetallic steam trap",,20,,0.00
"spirax sarco blowdown valve",,20,,0.00
"spirax sarco blowdown vessel",,20,,0.00
"spirax sarco board of directors",,20,,0.00
"spirax sarco boiler",,20,,0.00
"spirax sarco book",,20,,0.00
"spirax sarco bpc32",,20,,0.00
"spirax sarco bpt13s",,20,,0.00
"spirax sarco brasil",,20,,0.00
