Keyword,Intent,Volume,KD,CPC
"spirax sarco",Commercial,480,31,0.37
"spirax sarco inc",Informational+Commercial,390,27,0.37
"spirax sarco company",Commercial,210,36,0.63
"spirax sarco pty ltd",Commercial,170,24,0.63
"spirax sarco australia",Commercial,110,20,0.98
"spirax sarco pty limited",Commercial,70,19,1.45
"spirax and sarco",,50,,0.63
"m10s spirax sarco",,30,,0.00
"spirax sarco mfp14",,30,,0.00
"spirax sarco steam traps",,30,,0.92
"apt14 spirax sarco",,20,,0.00
"ball float steam trap spirax sarco",,20,,0.00
"ball valve spirax sarco",,20,,0.00
"bsa2t spirax sarco",,20,,0.00
"bsa3t spirax sarco",,20,,0.00
"btm7 spirax sarco",,20,,0.00
"condensate pump spirax sarco",,20,,0.00
"cp30 spirax sarco",,20,,0.00
"dp143 spirax sarco",,20,,0.00
"ft43 spirax sarco",,20,,0.00
"lp30 spirax sarco",,20,,0.00
"mfp14 ppu spirax sarco",,20,,0.00
"mfp14 spirax sarco",,20,,0.00
"mst21 spirax sarco",,20,,0.00
"pressure reducing valve for steam spirax sarco",,20,,0.00
"pressure relief valve spirax sarco",,20,,0.00
"prv spirax sarco",,20,,0.00
"pump trap spirax sarco",,20,,0.00
"sa121 spirax sarco",,20,,0.00
"sp500 spirax sarco",,20,,0.00
"spirax sarco 25p",,20,,0.00
"spirax sarco a743 ca40f",,20,,0.00
"spirax sarco adelaide",,20,,0.00
"spirax sarco ae30",,20,,0.00
"spirax sarco ae30a",,20,,0.00
"spirax sarco ae50s",,20,,0.00
"spirax sarco air eliminator",,20,,0.00
"spirax sarco air vent",,20,,0.00
"spirax sarco apt14",,20,,0.00
"spirax sarco av13",,20,,0.00
"spirax sarco ball float steam trap",,20,,0.00
"spirax sarco ball valve",,20,,0.00
"spirax sarco bc3250",,20,,0.00
"spirax sarco bc3250 manual",,20,,0.00
"spirax sarco bcr3150",,20,,0.00
"spirax sarco blacktown",,20,,0.00
"spirax sarco boiler",,20,,0.00
"spirax sarco brisbane",,20,,0.00
"spirax sarco brv2s",,20,,0.00
"spirax sarco brv2s manual",,20,,0.00
"spirax sarco bsa2t",,20,,0.00
"spirax sarco bsa3t",,20,,0.00
"spirax sarco btm7",,20,,0.00
"spirax sarco ca14",,20,,0.00
"spirax sarco calculator",,20,,0.00
"spirax sarco careers",,20,,0.00
"spirax sarco check valve",,20,,0.00
"spirax sarco condensate pump",,20,,0.00
