Keyword,Intent,Volume,KD,CPC
"spirax sarco",Commercial,590,24,0.69
"spirax sarco inc",Informational+Commercial,390,31,0.66
"spirax sarco canada",Commercial,320,20,0.47
"spirax sarco canada limited",Commercial,260,19,0.94
"spirax sarco canada ltd",Commercial,210,21,0.97
"spirax sarco inc.",,70,,1.34
"spirax sarco steam traps",Commercial,70,24,1.11
"spirax sarco company",,50,,1.34
"spirax sarco steam trap",,50,,0.94
"spirax sarco en js1025",,40,,0.00
"spirax sarco linkedin",,40,,0.00
"bpc32y spirax sarco",,30,,0.00
"spirax sarco bpc32",,30,,0.00
"spirax sarco spira trol",,30,,0.00
"spirax sarco steam tables",,30,,2.51
"td42s2 spirax sarco",,30,,0.00
"apt 14 spirax sarco",,20,,0.00
"apt spirax sarco",,20,,0.00
"avc32 spirax sarco",,20,,0.00
"ball float steam trap spirax sarco",,20,,0.00
"ball valve spirax sarco",,20,,0.00
"bpc32ycv spirax sarco",,20,,0.00
"bpt13 spirax sarco",,20,,0.00
"bt6 spirax sarco",,20,,0.00
"btm7 spirax sarco",,20,,0.00
"clean steam generator spirax sarco",,20,,0.00
"condensate pump spirax sarco",,20,,0.00
"dcv4 spirax sarco",,20,,0.00
"dcv41 spirax sarco",,20,,0.00
"deaerator spirax sarco",,20,,0.00
"evc spirax sarco",,20,,0.00
"fig 34 spirax sarco",,20,,0.00
"ft14 10 spirax sarco",,20,,0.00
"ft44 spirax sarco",,20,,0.00
"ilva spirax sarco",,20,,0.00
"logo spirax sarco",,20,,0.00
"m10s spirax sarco",,20,,0.00
"m10s2 spirax sarco",,20,,0.00
"mst21 spirax sarco",,20,,0.00
"pressure reducing valve for steam spirax sarco",,20,,0.00
"pressure relief valve spirax sarco",,20,,0.00
"prv spirax sarco",,20,,0.00
"ptc spirax sarco",,20,,0.00
"pump trap spirax sarco",,20,,0.00
"sa121 spirax sarco",,20,,0.00
"sarco spirax",,20,,1.34
"sp500 spirax sarco",,20,,0.00
"sp7 10 spirax sarco",,20,,0.00
"sp7 spirax sarco",,20,,0.00
"spira trol spirax sarco",,20,,0.00
"spirax sarco 13w",,20,,0.00
"spirax sarco 13ws",,20,,2.25
"spirax sarco 25 series regulator",,20,,0.00
"spirax sarco 25p",,20,,1.30
"spirax sarco 25p installation manual",,20,,0.00
"spirax sarco 25p manual",,20,,0.00
"spirax sarco 25p parts list",,20,,0.00
"spirax sarco 25p pressure reducing valve",,20,,0.00
"spirax sarco 3d models",,20,,0.00
"spirax sarco 69843",,20,,0.00
"spirax sarco actuator",,20,,0.00
"spirax sarco address",,20,,0.00
"spirax sarco ae30",,20,,0.00
"spirax sarco ae30a",,20,,0.00
"spirax sarco ae36",,20,,0.00
"spirax sarco ae36a",,20,,0.00
"spirax sarco ae50s",,20,,0.00
"spirax sarco air eliminator",,20,,0.00
"spirax sarco air separator",,20,,0.00
"spirax sarco air vent",,20,,0.00
"spirax sarco apt 14",,20,,0.00
"spirax sarco apt14",,20,,0.00
"spirax sarco apt14hc",,20,,0.00
"spirax sarco automatic air vent",,20,,0.00
"spirax sarco av13",,20,,0.00
"spirax sarco avc32",,20,,0.00
"spirax sarco b1h",,20,,0.00
"spirax sarco ball float steam trap",,20,,0.00
"spirax sarco ball valve",,20,,0.00
"spirax sarco blowdown vessel",,20,,0.00
"spirax sarco boiler",,20,,0.00
"spirax sarco book",,20,,0.00
"spirax sarco bpc32ycv",,20,,0.00
"spirax sarco bpt13s",,20,,0.00
